keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,katman
superbike takvim,Superbike,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,Doğrulanacak,Yıllık,Yarış Takvimi,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,tak,1600,LOW,2,,,,evet,110,140,260,320,480,390,90,40,110,8100,6600,3600,5400,2400,4400,2900,1300,590,170,110,140,3600,3600,4400,3600,2400,1300,1900,1600,590,140,hayır,,,Geçerli,Ana Liste
wsbk,Superbike,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,Doğrulanacak,Yıllık,Yarış Takvimi,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,6600,LOW,2,0.5,0.33,0.71,evet,880,1600,3600,2400,2900,3600,1300,1000,2400,33100,22200,8100,22200,14800,18100,12100,12100,8100,2900,1300,1900,18100,18100,14800,18100,9900,4400,9900,9900,6600,2900,hayır,,,Geçerli,Ana Liste
wsbk puan durumu,Superbike,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,Doğrulanacak,Yıllık,Yarış Takvimi,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,1900,LOW,1,0.44,,,evet,210,320,480,390,390,260,40,90,170,9900,9900,3600,9900,5400,5400,3600,1900,720,70,70,170,5400,6600,2400,4400,1600,590,2400,1300,480,50,hayır,,,Geçerli,Ana Liste
wsbk takvim,Superbike,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,Doğrulanacak,Yıllık,Yarış Takvimi,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,tak,2400,LOW,2,0.1,,,evet,170,210,480,480,590,1000,260,140,260,12100,12100,4400,9900,4400,6600,5400,4400,2400,480,260,320,5400,5400,6600,6600,3600,1600,2900,2400,1300,320,hayır,,,Geçerli,Ana Liste
nascar,NASCAR,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Yarış Takvimi,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,5400,LOW,1,0.49,0.1,0.6,evet,4400,5400,6600,5400,5400,5400,4400,5400,5400,5400,5400,6600,6600,5400,5400,5400,4400,4400,3600,3600,4400,4400,4400,5400,6600,6600,6600,8100,6600,8100,4400,hayır,,,Geçerli,Ana Liste
nascar takvim,NASCAR,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,ABD,Yabancı,Yok,TV+ Yok,Yıllık,Yarış Takvimi,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,tak,20,LOW,0,,,,evet,10,10,10,10,30,20,10,10,20,20,50,40,40,50,40,50,50,50,30,20,40,40,30,20,20,20,20,10,30,10,10,hayır,,,Geçerli,Ana Liste
le mans,Le Mans / WEC,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Tek Etkinlik,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,4400,LOW,2,,0.2,2.17,evet,2900,8100,8100,3600,2900,5400,4400,4400,2900,4400,3600,4400,6600,22200,4400,4400,3600,3600,2900,2400,2900,2400,2900,3600,4400,12100,8100,5400,9900,4400,3600,hayır,,,Geçerli,Ana Liste
le mans canlı izle,Le Mans / WEC,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Tek Etkinlik,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,20,LOW,0,,,,evet,10,140,10,10,10,10,10,10,10,10,10,10,10,590,10,10,10,10,10,10,10,10,10,10,10,480,10,20,10,10,10,hayır,,,Geçerli,Ana Liste
wec,Le Mans / WEC,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Tek Etkinlik,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,1900,LOW,1,,0.25,1.08,evet,1900,2400,2900,2400,1300,1000,1000,2900,1600,1000,1600,1000,1900,3600,1900,1600,880,1300,590,720,1000,720,1300,720,1000,1900,1300,1300,1900,1000,720,hayır,,,Geçerli,Ana Liste
wec canlı izle,Le Mans / WEC,Motor Sporları,Bireysel Sıralama Serisi,1. Seviye,Niş,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Tek Etkinlik,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,LOW,0,,,,evet,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Ana Liste
wimbledon,Wimbledon,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,60500,LOW,2,0.8,0.2,2.36,evet,450000,110000,9900,8100,22200,40500,22200,5400,14800,9900,9900,9900,823000,74000,9900,6600,5400,4400,5400,4400,4400,6600,8100,9900,450000,33100,6600,6600,5400,8100,6600,hayır,,,Geçerli,Ana Liste
wimbledon fikstür,Wimbledon,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,fik,210,LOW,1,,,,evet,1900,390,10,10,10,10,10,10,10,10,10,10,3600,210,10,10,10,10,10,10,10,0,10,10,4400,110,10,10,10,10,10,hayır,,,Geçerli,Ana Liste
wimbledon canlı izle,Wimbledon,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,260,LOW,16,0.29,0.13,0.4,evet,1900,720,10,10,10,10,20,10,0,10,20,10,3600,210,10,10,10,10,10,10,10,10,10,30,3600,140,10,10,10,10,10,hayır,,,Geçerli,Ana Liste
wimbledon hangi kanalda,Wimbledon,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,1000,LOW,14,0.19,0.07,0.27,evet,6600,5400,70,10,10,30,50,10,10,10,20,40,18100,4400,50,10,10,10,10,10,10,20,40,40,14800,1300,50,20,20,10,20,hayır,,,Geçerli,Ana Liste
wimbledon takvim,Wimbledon,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,tak,70,LOW,1,0.28,,,evet,590,210,10,10,0,10,10,10,10,10,0,10,1600,140,10,0,10,10,10,10,10,10,10,0,590,40,10,10,10,10,10,hayır,,,Geçerli,Ana Liste
wimbledon bilet,Wimbledon,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Bilet,Ticari,Lig/Organizasyon,Jenerik,İngilizce,Head,bil,70,MEDIUM,34,0.19,0.03,0.22,evet,170,170,70,40,50,50,50,20,20,20,40,50,880,210,50,40,40,30,30,10,20,20,20,20,480,70,40,30,20,10,30,hayır,,,Geçerli,Ana Liste
roland garros,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,60500,LOW,5,0.88,0.14,1.09,evet,6600,368000,301000,8100,5400,5400,5400,2400,1600,1600,4400,2900,12100,450000,135000,5400,3600,2400,4400,1900,1600,2400,3600,4400,9900,246000,110000,6600,4400,4400,3600,hayır,,,Geçerli,Ana Liste
roland garros fikstür,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,320,LOW,5,,,,evet,20,1900,1600,20,10,10,10,0,0,10,10,10,20,1600,480,10,10,10,10,0,10,10,10,10,50,2900,1300,10,10,10,10,hayır,,,Geçerli,Ana Liste
roland garros canlı izle,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,140,LOW,5,,,,evet,10,880,720,10,10,10,10,10,10,0,10,10,10,1600,390,10,0,10,0,0,0,10,0,10,20,880,480,10,10,0,10,hayır,,,Geçerli,Ana Liste
roland garros hangi kanalda,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Body,kan,590,LOW,6,,,,evet,40,1600,5400,70,10,20,20,10,10,10,40,50,40,4400,1900,30,10,10,10,10,10,10,10,30,110,1900,2900,70,20,10,20,hayır,,,Geçerli,Ana Liste
roland garros takvim,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,tak,70,LOW,14,,,,evet,10,260,390,10,20,10,10,10,10,0,10,10,10,320,110,10,10,10,10,0,0,0,10,10,10,210,170,0,10,10,10,hayır,,,Geçerli,Ana Liste
roland garros bilet,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Bilet,Ticari,Lig/Organizasyon,Jenerik,İngilizce,Body,bil,50,MEDIUM,42,0.16,0.03,0.34,evet,20,70,170,70,70,70,40,10,10,10,10,10,50,480,140,50,40,20,20,10,10,10,10,10,20,70,90,20,40,10,20,hayır,,,Geçerli,Ana Liste
fransa açık,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen,6600,LOW,1,,,,evet,720,40500,40500,1000,320,590,590,140,140,210,590,480,1900,60500,18100,720,390,260,720,170,170,210,170,390,1300,27100,12100,590,390,320,480,hayır,,,Geçerli,Ana Liste
fransa açık fikstür,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,40,LOW,2,,,,evet,10,320,210,10,0,10,10,10,10,10,10,10,10,390,170,10,0,10,10,0,10,10,10,10,20,480,170,10,0,0,0,hayır,,,Geçerli,Ana Liste
fransa açık canlı izle,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,LOW,5,,,,evet,10,70,70,10,0,0,0,10,0,0,0,0,10,390,50,10,0,10,10,0,10,10,0,10,10,170,90,0,0,0,0,hayır,,,Geçerli,Ana Liste
fransa açık hangi kanalda,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,kan,110,LOW,2,,,,evet,10,320,880,10,10,10,10,10,10,10,10,10,10,1300,720,10,10,10,10,10,0,10,0,10,20,720,720,10,10,10,10,hayır,,,Geçerli,Ana Liste
fransa açık takvim,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,tak,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
fransa açık bilet,Roland Garros,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Bilet,Ticari,Lig/Organizasyon,Jenerik,Türkçe,Body,bil,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
us open tenis,US Open,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,jen,2900,LOW,29,0.69,0.14,1.1,evet,140,110,70,50,50,70,140,30,50,110,18100,14800,590,260,90,70,70,50,140,50,40,70,6600,5400,210,210,110,110,90,50,170,hayır,,,Geçerli,Ana Liste
us open tenis fikstür,US Open,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
us open tenis canlı izle,US Open,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Long-tail,izle,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
us open tenis hangi kanalda,US Open,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,İngilizce,Long-tail,kan,10,LOW,0,,,,evet,10,0,0,0,0,10,10,0,0,0,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hayır,,,Geçerli,Ana Liste
us open tenis takvim,US Open,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,tak,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
us open tenis bilet,US Open,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Bilet,Ticari,Lig/Organizasyon,Jenerik,İngilizce,Body,bil,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
avustralya açık,Avustralya Açık,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,jen,27100,LOW,0,,,,evet,1000,1000,1000,1000,880,40500,246000,1600,590,590,1600,1000,3600,2400,1000,880,880,1300,135000,1300,720,720,720,1300,1900,1900,880,590,720,1600,110000,hayır,,,Geçerli,Ana Liste
avustralya açık fikstür,Avustralya Açık,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Fikstür,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,fik,260,LOW,0,,,,evet,10,10,10,10,10,140,2900,10,10,10,10,10,10,10,10,10,0,20,2900,10,10,10,10,10,10,20,10,10,10,20,3600,hayır,,,Geçerli,Ana Liste
avustralya açık canlı izle,Avustralya Açık,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,260,LOW,19,,,,evet,10,10,10,10,10,720,2400,10,10,10,10,10,10,40,10,10,10,10,720,10,10,10,10,0,10,10,10,10,10,10,1300,hayır,,,Geçerli,Ana Liste
avustralya açık hangi kanalda,Avustralya Açık,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Kanal/Yayın,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,kan,880,LOW,3,,,,evet,30,10,10,10,20,1600,8100,50,10,10,20,10,30,30,10,10,10,10,4400,70,10,10,10,10,10,10,20,10,10,30,4400,hayır,,,Geçerli,Ana Liste
avustralya açık takvim,Avustralya Açık,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Body,tak,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
avustralya açık bilet,Avustralya Açık,Tenis,Dünya Turnuvası,Kıta Üstü,Üst,Karma,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Turnuva,Bilet,Ticari,Lig/Organizasyon,Jenerik,Türkçe,Body,bil,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
atp,ATP Tour,Tenis,Bireysel Sıralama Serisi,1. Seviye,Üst,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Yarış Takvimi,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,9900,LOW,4,0.31,0.16,0.68,evet,8100,9900,12100,9900,9900,8100,9900,6600,9900,12100,18100,8100,9900,9900,9900,9900,9900,8100,8100,5400,8100,9900,8100,8100,8100,8100,9900,9900,9900,6600,12100,hayır,,,Geçerli,Ana Liste
atp sıralama,ATP Tour,Tenis,Bireysel Sıralama Serisi,1. Seviye,Üst,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Yarış Takvimi,İstatistik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,sir,1300,LOW,1,,,,evet,1900,1900,1900,1300,1000,1000,1300,320,1600,1300,1600,1300,2900,2400,1600,1300,1000,1000,1600,320,880,1300,1300,1300,2400,1900,1000,1000,1000,590,1600,hayır,,,Geçerli,Ana Liste
atp takvim,ATP Tour,Tenis,Bireysel Sıralama Serisi,1. Seviye,Üst,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Yarış Takvimi,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,tak,110,LOW,4,,,,evet,170,140,170,170,170,110,90,40,110,110,110,70,170,140,140,110,140,70,170,30,40,90,70,90,110,140,140,170,140,70,210,hayır,,,Geçerli,Ana Liste
atp canlı izle,ATP Tour,Tenis,Bireysel Sıralama Serisi,1. Seviye,Üst,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Yarış Takvimi,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,LOW,12,,,,evet,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,20,20,10,20,10,10,10,30,30,30,10,10,20,10,10,10,hayır,,,Geçerli,Ana Liste
wta,WTA Tour,Tenis,Bireysel Sıralama Serisi,1. Seviye,Orta,Kadın,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Yarış Takvimi,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,5400,LOW,1,0.17,0.13,0.49,evet,5400,8100,6600,6600,5400,6600,6600,1900,2900,5400,5400,5400,6600,5400,5400,4400,6600,5400,4400,1900,9900,4400,4400,4400,4400,6600,6600,4400,5400,4400,4400,hayır,,,Geçerli,Ana Liste
wta sıralama,WTA Tour,Tenis,Bireysel Sıralama Serisi,1. Seviye,Orta,Kadın,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Yarış Takvimi,İstatistik,Bilgi,Lig/Organizasyon,Jenerik,Türkçe,Head,sir,1300,LOW,1,,0.34,0.41,evet,1600,2400,1900,1600,1000,1300,1900,210,590,1000,1000,1300,2900,1600,1000,880,1000,880,1000,260,1000,1000,1000,720,1000,1000,880,480,480,590,1000,hayır,,,Geçerli,Ana Liste
wta takvim,WTA Tour,Tenis,Bireysel Sıralama Serisi,1. Seviye,Orta,Kadın,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Yarış Takvimi,Takvim/Saat,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,tak,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
wta canlı izle,WTA Tour,Tenis,Bireysel Sıralama Serisi,1. Seviye,Orta,Kadın,Bireysel,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,TV+ Var,Yıllık,Yarış Takvimi,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,90,LOW,9,0.24,0.04,0.16,evet,70,90,170,140,140,140,50,40,70,50,90,110,140,140,140,70,90,50,90,30,40,50,90,50,70,70,170,140,90,110,70,hayır,,,Geçerli,Ana Liste
atp finals,ATP Finals,Tenis,Dünya Turnuvası,Kıta Üstü,Orta,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Tek Etkinlik,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,2900,LOW,17,1.88,0.25,1.3,evet,140,170,210,170,110,170,210,210,33100,390,260,210,320,260,170,90,140,90,110,110,14800,320,210,170,170,110,170,110,90,110,210,hayır,,,Geçerli,Ana Liste
atp finals canlı izle,ATP Finals,Tenis,Dünya Turnuvası,Kıta Üstü,Orta,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Yıllık,Tek Etkinlik,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hayır,,,Geçerli,Ana Liste
davis cup,Davis Cup,Tenis,Dünya Turnuvası,Milli,Niş,Erkek,Milli Takım,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,Doğrulanacak,Yıllık,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,720,LOW,8,0.68,0.1,0.8,evet,320,480,170,110,140,1000,210,140,2900,320,2400,210,390,390,110,140,140,4400,1000,210,9900,1900,4400,390,210,170,170,110,320,720,260,hayır,,,Geçerli,Ana Liste
davis cup canlı izle,Davis Cup,Tenis,Dünya Turnuvası,Milli,Niş,Erkek,Milli Takım,Bireysel Spor,Global,Uluslararası,Türk Sporcu Var,Doğrulanacak,Yıllık,Turnuva,Canlı İzle,İzleme,Lig/Organizasyon,Jenerik,Türkçe,Body,izle,10,,,,,,evet,0,0,0,0,0,10,10,0,20,0,10,0,0,0,0,10,0,40,10,0,110,10,20,0,0,0,0,0,0,10,0,hayır,,,Geçerli,Ana Liste
olimpiyat,Yaz Olimpiyatları,Diğer,Dünya Turnuvası,Milli,Global Elit,Karma,Milli Takım,Takım Sporu,Global,Uluslararası,Türk Sporcu Var,Doğrulanacak,4 Yılda Bir,Turnuva,Jenerik,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Head,jen,12100,LOW,3,0.06,0.09,2,evet,12100,12100,18100,9900,9900,22200,9900,9900,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,9900,9900,201000,74000,12100,14800,12100,12100,9900,8100,hayır,,,Geçerli,Ana Liste
olimpiyat puan durumu,Yaz Olimpiyatları,Diğer,Dünya Turnuvası,Milli,Global Elit,Karma,Milli Takım,Takım Sporu,Global,Uluslararası,Türk Sporcu Var,Doğrulanacak,4 Yılda Bir,Turnuva,Puan Durumu,Bilgi,Lig/Organizasyon,Jenerik,İngilizce,Body,pd,10,LOW,0,,,,evet,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,70,1600,590,30,40,20,10,10,10,hayır,,,Geçerli,Ana Liste
