keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,intent_kaynak,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,katman,competition,competition_index,cpc,low_bid,high_bid,kurum_sorgusu,oyuncu_dogrulama,faset_notu,mantik_denetim,guncellik,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
sawbridgeworth town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,0,0,0,0,10,10,10,10,10,10,10,0,10,0,0,0,10,0,0,0,0,10,10,0,0,0,10,10,0
sheerwater,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
sheppey united,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,0,10,10,10,10,10,10,10,10,10,170,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10
shepton mallet,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,12,,,,hayır,,,Geçerli,,20,LOW,12,,,,evet,20,40,20,40,20,10,20,10,20,20,20,20,20,20,20,10,10,10,10,10,20,20,20,20,30,30,20,10,10,10,10
sherwood colliery,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,0,0,0,0,10,10,0,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10
shifnal town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,0,10,10,10,10,10,0,10,10,0,0,10,10,0,0,0,0,0,0,10,10,0,10,0,0,10,0,0,0
shildon,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,20,LOW,0,,,,evet,30,20,20,20,20,20,20,20,20,20,30,10,10,10,20,10,20,10,30,10,20,20,20,20,30,20,20,30,30,20,10
silsden,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,30,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
slimbridge,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,110,0,10,10,10,10,0,10,0,10,10,0,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10
snodland town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,10,10,0,0,10,10,0,0,10,10,10,0,0,0,10,0,0,0,0,0,10,10,10,10,0,0,10,10,0,10
south liverpool,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
sporting khalsa,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,0,0,0,20,40,10,10,10,10,10,10,10,10,20,90,30,10,10,20,0,10,10,10,10,20
st blazey,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,0,10,0,0,10,10,0,0,10,10,10,10,10,0,10,0,0,0,0,0,0,10,10,10,10,0,0,10,0
st ives town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Body,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,20,LOW,0,,,,evet,10,10,10,20,30,30,40,20,110,10,20,10,20,10,10,40,10,20,20,50,30,110,90,40,10,0,10,10,90,20,40
st neots town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Body,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,30,10,20,10,0,10,10,0,10,10,0,10,0,10,10,10,10,10,10,0,10,10
stafford rangers,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,30,LOW,0,,,,evet,70,10,20,20,20,20,10,10,40,20,40,30,10,10,10,20,20,20,20,20,10,70,30,40,110,10,10,20,390,40,90
stotfold,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,6,,,,hayır,,,Geçerli,,10,LOW,6,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
stowmarket town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,10,0,0,0,10,0,10,10,10,10,10,10,10,0,0,10,10,10,0,0,10,10,10,0,10,10,10,30,10,10
street,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,3,0.17,0.08,0.31,hayır,,,Geçerli,,5400,LOW,3,0.17,0.08,0.31,evet,4400,5400,6600,6600,6600,5400,6600,6600,6600,5400,5400,5400,5400,5400,5400,6600,5400,5400,6600,6600,6600,8100,5400,5400,5400,4400,5400,5400,5400,5400,6600
sutton coldfield town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Body,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,10,10,10,10,10,10,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20
sutton common rovers,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Body,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,0,0,10,10,0,10,10,10,10,10,20,10,10,10,20,70,10,20,30,10,20,10,10,10,10,10,10,20,30
sutton united,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,880,LOW,0,,,,evet,390,70,210,390,1600,880,390,1000,1000,1000,2900,590,390,140,260,1600,1900,1300,1900,880,1300,590,880,1300,480,210,320,1000,1600,1300,2400
swindon supermarine,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,30,LOW,0,,,,evet,20,10,10,40,20,110,40,10,50,10,10,10,10,10,10,20,90,50,170,110,20,70,40,40,10,10,0,40,90,70,50
tadcaster albion,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,0,10,10,10,10,0,0,0,10,10,10,0,10,10,10,0,10,10,0,10,10,10,10,10,0,0,10,10,10
tadley calleva,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,10,0,0,0,10,0,0,10,10,20,10,0,10,0,0,0,10,0,0,10,10,10,10,0,10,10,10,0,0
takeley,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,8,,,,hayır,,,Geçerli,,20,LOW,8,,,,evet,20,10,20,20,30,10,10,10,10,20,10,20,30,20,20,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10
tavistock,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,5,,0.36,1.43,hayır,,,Geçerli,,390,LOW,5,,0.36,1.43,evet,260,390,390,720,480,590,480,390,260,260,320,320,320,260,390,390,590,390,480,390,590,1900,320,390,590,590,390,480,590,390,720
thackley,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,10,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,10,0,10,10,0,0,10,0,0,0,0
thatcham town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,10,0,0,10,0,0,0,0,0,10,10,0,0,10,0,10
thetford town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0
thornaby,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,5,,,,hayır,,,Geçerli,,20,LOW,5,,,,evet,10,10,10,10,20,10,10,10,20,30,30,20,10,20,10,10,20,20,30,10,20,20,10,20,10,10,30,10,10,20,20
tilbury,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,MEDIUM,37,0.2,0.05,0.48,hayır,,,Geçerli,,480,MEDIUM,37,0.2,0.05,0.48,evet,390,480,590,590,590,590,590,590,720,590,390,390,390,480,480,390,390,480,480,720,720,590,720,880,480,390,480,390,480,480,480
tooting mitcham united,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,0,10,0,0,10,0,10,10,0,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
trafford,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Navigasyonel,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Takım Jenerik,Genişletme,LOW,3,1.04,0.43,0.78,hayır,,,"Jenerik kelime, oyuncu değil (Tam adı listede duruyor, soyad fazlalık (bayındır kuralı))",,2900,LOW,3,1.04,0.43,0.78,evet,1600,1000,1900,1300,1000,880,880,1300,720,1300,4400,22200,12100,720,720,880,720,390,390,320,260,390,320,260,260,320,480,320,390,590,260
tunbridge wells,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,14,0.7,0.3,1.35,hayır,,,Geçerli,,170,LOW,14,0.7,0.3,1.35,evet,170,170,140,170,170,140,170,210,140,210,210,260,320,260,260,480,210,210,210,210,210,260,260,320,320,260,260,260,210,210,260
virginia water,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,5,0.77,,,hayır,,,Geçerli,,40,LOW,5,0.77,,,evet,70,70,30,40,90,40,30,40,10,30,30,40,50,20,20,50,40,20,40,50,50,30,30,50,70,90,40,30,40,30,30
walkover,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,140,LOW,0,,,,evet,90,260,210,140,110,70,170,90,110,170,140,140,140,110,210,140,140,110,170,110,110,140,110,140,320,170,170,110,170,140,110
wallingford crowmarsh,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walsham-le-willows,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,0,10,0,10,0,0,10,0,10,10,10,10,10,10,10,0
wellingborough town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,10,10,10,10,20,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10,10,10,0,10,10,10,0,10,0
west auckland town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Body,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,0,10,10,20,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0
west didsbury chorlton,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,Türkçe,Body,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
west essex,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
westbury united,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,0,10,10,10,10,10,10,10,30,50,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0
westfield,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,2,0.12,0.61,4.29,hayır,,,Geçerli,,720,LOW,2,0.12,0.61,4.29,evet,880,720,720,720,880,590,880,720,720,720,590,880,880,590,590,720,590,590,720,720,720,590,720,880,1000,720,590,590,390,480,590
whitchurch alport,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,0,10,10,0,0,10,10,10,10,0,0,10,0,10,0,10,10,10,10,10,10,10,0,0,0,0,10
white ensign,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10
whitley bay,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,4,,0.14,1.29,hayır,,,Geçerli,,70,LOW,4,,0.14,1.29,evet,170,110,70,70,50,90,40,30,40,50,50,70,50,40,50,40,30,40,30,40,40,40,70,90,50,30,50,40,30,20,50
whitstable town,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,LOW,0,,,,hayır,,,Geçerli,,10,LOW,0,,,,evet,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,0,10,0,10,0,0,10,10,0,10,0,10,0,0
willand rovers,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,10,0,20,0,10,10,10,70,0,10,10,10,10,10,10,0,10,10,20,50,10,10,0,0,0,10,10,20,10
winslow united,FA Cup Alt Ligler,Futbol,Lig,Alt Seviye,Uzun Kuyruk,Erkek,Kulüp,Takım Sporu,İngiltere,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Takım Jenerik,Navigasyonel,Bilgi,Takım,Jenerik,İngilizce,Head,Takım Jenerik,Uzun Kuyruk,,,,,,hayır,,,Geçerli,,10,,,,,,evet,0,0,10,10,10,0,10,10,0,10,10,10,10,0,10,10,0,10,10,0,0,0,10,10,0,0,0,0,0,10,0
