keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,prestij_katmani,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,kurum_sorgusu,oyuncu_dogrulama,varyant_denetim,teknik_kadro,katman,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,mantik_denetim,faset_notu
trabzonspor bk kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,fenerbahçe beko,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
trabzonspor bk hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,fenerbahçe beko,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
trabzonspor bk istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,fenerbahçe beko,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
mike batiste,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,fenerbahçe beko,,hayır,,,,,210,LOW,0,,,,evet,1600,170,390,170,40,70,50,70,30,40,70,30,70,90,720,90,480,50,140,90,50,40,30,20,50,40,170,590,90,170,50,Geçerli,
mike batiste kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,fenerbahçe beko,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
mike batiste hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,fenerbahçe beko,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
mike batiste istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,fenerbahçe beko,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
rodrigue beaubois,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,anadolu efes,,hayır,,,,,1300,LOW,1,1.2,0.35,0.81,evet,2400,720,390,590,480,590,720,1900,3600,1300,1600,260,590,880,1300,2900,1300,720,880,1300,1300,1300,480,170,390,880,880,1300,1000,720,1900,Geçerli,
rodrigue beaubois kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
rodrigue beaubois hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
rodrigue beaubois istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
şehmus hazer,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,anadolu efes,,hayır,,,,,49500,LOW,0,,0.12,1.68,evet,27100,12100,5400,5400,18100,14800,9900,18100,22200,27100,450000,33100,3600,8100,3600,2400,2400,3600,2400,2400,14800,3600,5400,1900,9900,8100,6600,4400,5400,6600,4400,Geçerli,
şehmus hazer kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,140,LOW,1,,,,evet,50,20,10,10,30,20,10,30,40,40,1300,70,10,10,10,10,10,10,10,10,40,10,10,10,20,20,10,10,10,20,10,Geçerli,
şehmus hazer hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,590,LOW,1,,,,evet,260,70,30,20,90,70,50,90,140,210,5400,390,30,20,20,10,10,40,10,30,390,70,90,20,90,0,0,0,0,0,0,Geçerli,
şehmus hazer istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
isaia cordinier,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,anadolu efes,,hayır,,,,,880,LOW,0,,,,evet,140,210,210,210,390,590,720,1000,1600,2900,1900,480,1900,110,90,70,110,110,210,140,590,480,70,1300,170,40,40,110,70,50,320,Geçerli,
isaia cordinier kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
isaia cordinier hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
isaia cordinier istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
rolands smits,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,anadolu efes,,hayır,,,,,480,LOW,0,,,,evet,40,260,140,170,260,260,390,590,590,1000,1300,720,140,390,1000,880,590,320,590,720,720,1300,320,30,90,2400,90,10,20,30,110,Geçerli,
rolands smits kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
rolands smits hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
rolands smits istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
darius carutasu,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,anadolu efes,,hayır,,,,,50,LOW,0,,,,evet,320,260,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mükerrer yazım (darius karutasu ile aynı kişi),
darius carutasu kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
darius carutasu hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
darius carutasu istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,anadolu efes,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
i dil saçalır,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,beşiktaş basketbol,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
i dil saçalır kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,beşiktaş basketbol,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
i dil saçalır hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,beşiktaş basketbol,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
i dil saçalır istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,beşiktaş basketbol,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
i layda güner,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,beşiktaş basketbol,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
i layda güner kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,beşiktaş basketbol,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
i layda güner hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,beşiktaş basketbol,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
i layda güner istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,beşiktaş basketbol,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
pero antic,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,panathinaikos,,hayır,,,,,50,LOW,0,,,,evet,20,20,40,20,30,50,20,40,10,260,50,10,20,50,70,390,20,30,40,50,40,40,20,20,10,40,50,10,10,30,10,Geçerli,
pero antic kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
pero antic hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
pero antic istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
bogdan bogdanovic,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,panathinaikos,,hayır,,,,,4400,LOW,0,,,,evet,5400,4400,2900,1900,2900,3600,2400,3600,3600,2900,18100,4400,2900,6600,8100,4400,3600,2900,3600,1600,1900,1600,1000,8100,1900,880,3600,1600,2400,1600,2400,Geçerli,
bogdan bogdanovic kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
bogdan bogdanovic hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
bogdan bogdanovic istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
jan vesely,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,panathinaikos,,hayır,,,,,2900,LOW,0,,,,evet,880,1600,9900,1300,1600,2900,5400,1900,1600,1600,1900,1000,1000,12100,9900,2900,1900,1900,1900,1600,2400,4400,720,880,880,1600,3600,1900,3600,1900,2900,Aktif oyuncu değil (Mayıs 2026'da emekli),
jan vesely kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
jan vesely hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
jan vesely istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nikola kalinic,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,panathinaikos,,hayır,,,,,1300,LOW,0,,,,evet,720,1600,1300,880,1300,3600,1600,720,1000,1900,1300,720,1000,1600,4400,2400,1300,1000,1900,1600,1900,2900,880,1300,1300,2900,2400,1000,3600,1300,12100,Geçerli,
nikola kalinic kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nikola kalinic hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nikola kalinic istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,panathinaikos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
jason thompson,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,İngilizce,Head,Oyuncu Jenerik,olympiakos,,hayır,,,,,90,LOW,0,,,,evet,70,110,90,70,70,70,110,140,110,170,110,50,110,90,170,110,70,110,110,110,110,110,50,90,70,110,140,90,50,30,140,Geçerli,
jason thompson kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,İngilizce,Body,Oyuncu Bilgi,olympiakos,,hayır,,,,,0,,,,,,evet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geçerli,
jason thompson hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,olympiakos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
jason thompson istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,İngilizce,Body,İstatistik,olympiakos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nicolo melli,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,olympiakos,,hayır,,,,,4400,LOW,0,,,,evet,1900,5400,5400,5400,9900,9900,5400,2900,2900,2900,3600,1000,1000,5400,22200,1900,1600,1600,1900,1300,2900,3600,1000,590,1300,12100,390,260,720,480,480,Geçerli,
nicolo melli kimdir,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,olympiakos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nicolo melli hangi takımda,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,olympiakos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
nicolo melli istatistik,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,olympiakos,,hayır,,,,,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geçerli,
marko guduric,EuroLeague,Basketbol,Lig,1. Seviye,Çekirdek,Erkek,Kulüp,Takım Sporu,Avrupa,Yabancı,Yok,TV+ Var,Yıllık,Sürekli Lig,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,olympiakos,,hayır,,,,,2900,LOW,0,,,,evet,720,1300,1600,880,5400,2900,2400,1900,1900,2900,8100,8100,5400,18100,60500,5400,4400,3600,5400,1900,3600,2900,880,1300,1000,3600,6600,1900,2900,1600,2400,Geçerli,
